A146	29.341783	-98.158562	14.436499	0.106929	-0.991519	0.073857
A58	79.167629	-61.043910	65.793342	0.398925	-0.646340	0.650464
A60	114.007472	-23.024458	60.916740	0.768980	-0.229982	0.596472
A88	125.012526	-23.346350	41.986061	0.881169	-0.266242	0.390714
A79	-49.283911	-71.538397	74.264770	-0.301049	-0.696064	0.651816
A169	-71.009453	-87.249299	11.833714	-0.516649	-0.852510	0.079360
A54	-0.549137	-65.961903	85.633561	0.165987	-0.648821	0.742617
A203	-122.547293	13.040868	-13.349037	-0.980731	0.114127	0.158564
A145	7.099699	-99.655524	17.621519	0.107303	-0.990414	0.086981
A103	-94.938050	39.880986	62.859228	-0.748366	0.383707	0.541032
A163	-112.734509	35.384721	22.243563	-0.923419	0.340619	0.176853
A139	-104.388129	-43.689887	38.330374	-0.843713	-0.442484	0.303901
A49	-71.967313	-1.917101	95.651239	-0.530061	-0.049918	0.846489
A166	-113.327475	-33.483094	20.346740	-0.940696	-0.306678	0.145051
A156	19.155216	106.932983	-6.087916	0.108146	0.993267	0.041539
A128	28.917180	99.171272	19.626658	0.120485	0.980654	0.154270
A68	12.498780	81.985020	66.352195	0.148879	0.804911	0.574416
A159	-48.829857	98.527863	15.410162	-0.283192	0.953986	0.098547
A236	-113.385950	58.517845	-52.819922	-0.847269	0.519318	0.111556
A161	-87.866930	74.394628	20.712346	-0.672055	0.720810	0.169636
A121	137.387087	0.150818	0.860268	0.999242	-0.038817	-0.003037
A4	61.025895	-1.911819	97.029490	0.236340	-0.059162	0.969867
A61	127.530687	-1.857435	43.726875	0.908476	-0.078381	0.410523
A6	80.801418	19.386094	88.725097	0.409735	0.168578	0.896493
A126	73.435661	92.140427	13.082716	0.345501	0.931708	0.112024
A14	-4.090222	-25.559591	107.543036	0.109443	-0.274348	0.955383
A94	75.291963	86.463135	33.969162	0.369829	0.871206	0.322839
A15	17.807003	-25.817729	103.319496	0.216046	-0.286339	0.933453
A193	40.533183	-96.562510	-31.277761	0.147111	-0.989028	-0.013518
A150	112.390808	-63.952545	2.622573	0.732905	-0.680288	-0.007666
A227	39.005039	-94.720374	-52.992344	0.088295	-0.995324	-0.039191
A59	99.443743	-45.002993	64.164691	0.598543	-0.499582	0.626230
